timestamp	sai2::realsense::left_hand	sai2::realsense::right_hand	sai2::realsense::center_hips
2024-08-06 15:16:18.428932	[0.20787888 0.89835687 3.64950018]	[-0.35358983  0.66643944  1.10189852]	[-0.11353494  0.74930185  0.70529152]
2024-08-06 15:16:18.580903	[0.21478666 0.91203256 4.63480317]	[-0.34499145  0.70508177  1.58764847]	[-0.11221704  0.75743385  0.70669516]
2024-08-06 15:16:18.732719	[0.22024132 0.95006654 6.28248339]	[-0.32811535  0.73759097  1.68999343]	[-0.11047288  0.76170556  0.70463453]
2024-08-06 15:16:18.985840	[0.22592488 0.93010845 5.29212281]	[-0.31473432  0.76428273  1.8080062 ]	[-0.10765912  0.76539844  0.70160844]
2024-08-06 15:16:19.289622	[0.21858484 0.95672154 7.733     ]	[-0.30260921  0.74355049  1.22586198]	[-0.10559709  0.7725435   0.6994856 ]
2024-08-06 15:16:19.492301	[0.24189399 0.96283555 8.117     ]	[-0.29989128  0.75050612  1.29423518]	[-0.10695941  0.77353237  0.6996521 ]
2024-08-06 15:16:19.745791	[0.20853845 0.9061603  4.55989474]	[-0.28953844  0.72186898  0.63059447]	[-0.10946675  0.78634049  1.72885308]
2024-08-06 15:16:19.998748	[0.20094891 0.91217547 5.60784502]	[-0.29993604  0.71304869  0.62964152]	[-0.10861194  0.77085233  1.83512775]
2024-08-06 15:16:20.656964	[0.2161484  0.68159978 3.65576181]	[-0.16959495  0.63818243  0.69896277]	[-0.02180265  0.78131207  3.40563029]
2024-08-06 15:16:20.910093	[0.24485586 0.57775811 5.61463736]	[-0.09262429  0.59505778  0.74428012]	[-0.01023996  0.75636673  1.96402054]
2024-08-06 15:16:21.163216	[0.32950549 0.09966894 2.252     ]	[0.26245916 0.49572508 0.90744444]	[1.50541273e-03 7.86986087e-01 2.11466399e+00]
2024-08-06 15:16:21.416532	[0.3297185  0.10281044 2.24862695]	[0.25120215 0.32586828 0.76985219]	[0.10022979 0.83002099 3.42083349]
2024-08-06 15:16:21.669582	[0.28426251 0.28808896 1.81253994]	[0.0954074  0.41502292 0.73046432]	[0.12217722 0.82612548 3.72174369]
2024-08-06 15:16:21.871712	[0.27077789 0.31712493 1.22295941]	[0.05037777 0.28413765 0.94023288]	[0.08237617 0.80696107 3.26735897]
2024-08-06 15:16:22.174405	[0.28449591 0.27163802 1.17463652]	[0.08758192 0.2487708  0.87234984]	[0.1813274 0.8439728 3.9469459]
2024-08-06 15:16:22.426843	[0.29262153 0.239369   2.53325411]	[0.11305109 0.26526273 1.72944869]	[0.29341027 0.87773007 5.4738592 ]
2024-08-06 15:16:22.629470	[0.2894225  0.25040812 3.0000591 ]	[0.10181785 0.34943564 1.90952135]	[0.27159706 0.86934754 5.23853259]
2024-08-06 15:16:22.881876	[0.32978863 0.08072139 3.39870927]	[0.23562512 0.232474   2.75850592]	[0.39091693 0.924561   6.92183387]
2024-08-06 15:16:23.085747	[0.33306342 0.08363607 3.78103494]	[0.24211851 0.3041733  2.74460306]	[0.38767585 0.92384086 6.86845943]
2024-08-06 15:16:23.289288	[0.30139012 0.15861177 4.01625422]	[0.18242002 0.42222956 2.99247264]	[0.30642432 0.88181693 6.88098921]
2024-08-06 15:16:23.491961	[0.29046238 0.18716769 2.1945679 ]	[0.16170027 0.44501496 1.94904032]	[0.2200175  0.83620286 5.59125005]
2024-08-06 15:16:23.745257	[0.27180265 0.22934169 1.06195941]	[0.12519064 0.42301061 2.37559779]	[0.12177241 0.78696844 4.13733528]
2024-08-06 15:16:23.998684	[0.23790416 0.31551909 0.78766667]	[0.01428817 0.6942199  2.01649917]	[0.0156358  0.73082756 2.52603453]
2024-08-06 15:16:24.150449	[0.14497407 0.7044333  0.55481432]	[-0.1396847   0.87775457  3.1855603 ]	[-0.10206189  0.68252719  0.67922505]
2024-08-06 15:16:24.302507	[0.16321302 0.93203864 4.0764269 ]	[-0.13471835  0.9713813   4.33730627]	[-0.09979471  0.70364561  0.68784415]
2024-08-06 15:16:25.011340	[0.16883686 0.98543131 7.98227843]	[-0.1383843   0.95636745  4.89812233]	[-0.10697855  0.71867958  0.69494977]
2024-08-06 15:16:25.163307	[0.16069116 0.99318945 8.033     ]	[-0.1317588   0.96685445  5.77688208]	[-0.10647267  0.70791304  0.69197504]
2024-08-06 15:16:25.416580	[0.14551483 0.97627888 8.02270718]	[-0.13229416  0.9622939   5.10001221]	[-0.10544661  0.70583672  0.69175577]
2024-08-06 15:16:25.517925	[0.13636634 0.97539448 8.02049429]	[-0.13121835  0.94452162  3.72930449]	[-0.10408965  0.70259392  0.69092039]
2024-08-06 15:16:25.669843	[0.13352897 0.9751716  8.02183021]	[-0.13121835  0.94452162  3.72930449]	[-0.10306403  0.69595458  0.68928793]
2024-08-06 15:16:25.872490	[0.12818645 0.96498342 8.04287002]	[-0.12349738  0.96529225  4.17676455]	[-0.1048018   0.70356216  0.69143717]
2024-08-06 15:16:26.074898	[0.13124275 0.96783858 8.05987373]	[-0.12349738  0.96529225  4.17676455]	[-0.10321103  0.71816542  0.69600273]
2024-08-06 15:16:26.277522	[0.13711268 0.97402834 8.08496159]	[-0.12245788  0.96694573  3.21652179]	[-0.10221842  0.72360837  0.6978429 ]
2024-08-06 15:16:26.530786	[0.14525185 0.97759255 8.09049208]	[-0.11984493  0.9980156   3.766     ]	[-0.10199589  0.73190263  0.70053701]
2024-08-06 15:16:26.784442	[0.14992656 0.98125419 8.09177898]	[-0.11984493  0.9980156   3.766     ]	[-0.10174652  0.73219363  0.70039656]
2024-08-06 15:16:26.987024	[0.14650981 0.98203257 8.06238871]	[-0.13537526  0.9759829   5.208     ]	[-0.10104712  0.73504776  0.70018996]
2024-08-06 15:16:27.240365	[0.1462666  0.98178327 8.03440535]	[-0.0886219   0.90812074  3.05184211]	[-0.10223328  0.73742426  0.70005085]
2024-08-06 15:16:27.443284	[0.14115733 0.98027285 7.98983188]	[-0.08070811  0.90576268  2.338     ]	[-0.1025571   0.74112282  0.69980584]
2024-08-06 15:16:27.645932	[0.12203549 0.97760923 7.99867045]	[-0.09373434  0.87514487  1.99536929]	[-0.10208159  0.72130418  0.69338913]
2024-08-06 15:16:27.848477	[0.11593241 0.97004844 8.00202718]	[-0.1019415   0.86026987  1.79050084]	[-0.10071891  0.71310877  0.69066482]
2024-08-06 15:16:28.050854	[0.10286038 0.98561406 8.00984211]	[-0.08897521  0.84427652  1.89142632]	[-0.09833525  0.70292313  0.68827894]
2024-08-06 15:16:28.303929	[0.12435596 0.93357188 6.12376875]	[-0.1005446   0.85195342  2.03153184]	[-0.09645374  0.69387728  0.68635784]
2024-08-06 15:16:28.556883	[0.11182603 0.9036222  4.93667843]	[-0.10832648  0.85417282  3.40604749]	[-0.0938021   0.68195087  0.68388505]
2024-08-06 15:16:28.809899	[0.18660499 0.78286294 0.66188889]	[-0.0952144   0.87625318  3.69653265]	[-0.08920164  0.70707217  0.6911835 ]
2024-08-06 15:16:29.062883	[0.15707891 0.81270865 0.6384181 ]	[-0.08321698  0.8869905   4.02438895]	[-0.08490889  0.68557659  0.66294615]
2024-08-06 15:16:29.265318	[0.15313412 0.79499332 0.64802268]	[-0.08885805  0.83419815  2.35368745]	[-0.08574065  0.66448571  0.63098905]
2024-08-06 15:16:29.517922	[0.1259555  0.77743541 0.65258754]	[-0.09208939  0.80132714  2.54303761]	[-0.08612582  0.63637796  0.6224965 ]
2024-08-06 15:16:29.770182	[0.11936074 0.77481905 0.65488899]	[-0.09763163  0.73485102  0.68074023]	[-0.08789224  0.61230654  0.61023301]
2024-08-06 15:16:29.972307	[0.11212352 0.76490501 0.6602117 ]	[-0.10108096  0.68635247  0.68196175]	[-0.09326378  0.58401078  0.59612769]
2024-08-06 15:16:30.225708	[0.10127491 0.72093652 1.48411253]	[-0.10383639  0.63991021  0.67565289]	[-0.10287909  0.58750422  0.63010911]
2024-08-06 15:16:30.478602	[0.0768363  0.69532385 1.550861  ]	[-0.10817841  0.60831905  0.66613176]	[-0.10884372  0.59094679  0.66904546]
2024-08-06 15:16:30.680876	[0.10433256 0.5893996  2.04173115]	[-0.06091729  0.49486095  1.2326759 ]	[-0.03174107  0.64482454  1.82535265]
2024-08-06 15:16:30.883293	[0.14209519 0.46043643 2.59000205]	[1.33952962e-03 3.86531487e-01 1.55372578e+00]	[0.05366409 0.69239531 1.94370388]
2024-08-06 15:16:31.035030	[0.18896684 0.32683804 2.9166965 ]	[0.06617497 0.27883956 1.90829885]	[0.15291126 0.74641704 2.07125669]
2024-08-06 15:16:31.237067	[0.24600468 0.20265195 2.36807725]	[0.14542219 0.16479282 2.30525985]	[0.26270971 0.81887003 3.45125861]
2024-08-06 15:16:31.490002	[0.31757587 0.06936551 2.66835861]	[0.14542219 0.16479282 2.30525985]	[0.26270971 0.81887003 3.45125861]
2024-08-06 15:16:31.743055	[0.31624042 0.06584034 2.32929688]	[0.23880371 0.05541049 2.2811647 ]	[0.39173473 0.8890648  2.10644506]
2024-08-06 15:16:31.996173	[0.31236368 0.06270182 2.30010962]	[0.2379718  0.05755536 2.28396599]	[0.39243755 0.88753797 2.26986809]
2024-08-06 15:16:32.198685	[0.30992542 0.06981006 2.54902786]	[0.2351533  0.0474535  2.29557669]	[0.39297573 0.88490104 2.45923587]
2024-08-06 15:16:32.451865	[0.30947156 0.07471317 2.06649839]	[0.23079484 0.05459874 2.29463777]	[0.39710422 0.86945219 0.57174431]
2024-08-06 15:16:32.705028	[0.30900253 0.08892242 2.36652875]	[0.22671797 0.05536665 2.2962383 ]	[0.39844751 0.86492549 0.56806201]
2024-08-06 15:16:32.958167	[0.30668091 0.09142808 2.42452535]	[0.22059625 0.06853465 2.28474055]	[0.39435417 0.87505125 1.76108706]
2024-08-06 15:16:33.160107	[0.31076313 0.07734032 2.41078932]	[0.21324077 0.07304235 2.28301242]	[0.39424077 0.88235771 3.08699695]
2024-08-06 15:16:33.412243	[0.31524778 0.05226526 2.264584  ]	[0.20859354 0.08526932 2.26160617]	[0.39050725 0.89648225 4.65341892]
2024-08-06 15:16:33.614054	[0.31828777 0.01277853 2.71102307]	[0.20816761 0.07770114 2.26329583]	[0.38251    0.91579028 6.33476811]
2024-08-06 15:16:33.917358	[ 3.27448017e-01 -2.27979045e-03  5.96848582e+00]	[0.20832914 0.07180786 2.27739413]	[0.37654933 0.92520364 8.12636361]
2024-08-06 15:16:34.068510	[0.24853361 0.03677024 7.24878837]	[0.16102863 0.11492882 2.02733795]	[0.29078498 0.87804061 6.97397658]
2024-08-06 15:16:34.320924	[0.2494265  0.18683727 7.03237547]	[0.16124735 0.12094691 1.99938939]	[0.27909949 0.84337326 5.68966267]
2024-08-06 15:16:34.422230	[0.2422094  0.33927255 7.55805765]	[0.15991366 0.13797492 1.95829444]	[0.26765137 0.82015504 4.10492093]
2024-08-06 15:16:34.624653	[0.23539872 0.52491577 7.0935488 ]	[0.15677382 0.16438619 1.90549676]	[0.25699954 0.78639076 2.44273888]
2024-08-06 15:16:34.776535	[0.21987206 0.68331732 1.91223488]	[0.15290893 0.19916995 1.82816425]	[0.24680974 0.75367838 0.72652923]
2024-08-06 15:16:34.928442	[0.35544506 0.80916166 0.71383763]	[0.22944308 0.13606677 2.20248515]	[0.37200889 0.79625773 0.71995181]
2024-08-06 15:16:35.131008	[0.25502703 0.71449645 1.52368413]	[0.17990756 0.18251439 2.48225976]	[0.29050459 0.77343794 0.73530831]
2024-08-06 15:16:35.383298	[0.15409735 0.64357196 2.38954742]	[0.12337099 0.22781538 2.81426091]	[0.19908398 0.7334459  0.75374493]
2024-08-06 15:16:35.584825	[ 0.15167253  0.64043191 10.71652114]	[0.11281525 0.26960709 2.89664146]	[0.17852527 0.72784853 0.75090193]
2024-08-06 15:16:35.736447	[ 0.15536297  0.61477283 12.0046684 ]	[0.10589931 0.37948524 2.72968779]	[0.15800641 0.71817773 0.74801465]
2024-08-06 15:16:35.938346	[ 0.1490444   0.60763221 14.02254673]	[0.10060161 0.53588596 3.3042641 ]	[0.1356849  0.7153936  0.74346339]
2024-08-06 15:16:36.140619	[ 0.28896314  0.74035499 14.95548307]	[0.18248133 0.62650177 2.69280841]	[0.2465853  0.76159701 0.70460398]
2024-08-06 15:16:36.342909	[ 0.44238449  0.8996148  15.94321777]	[0.27206962 0.7323603  2.74189674]	[0.36933441 0.81703961 0.662132  ]
2024-08-06 15:16:36.545024	[0.42596342 0.90921165 4.56243042]	[0.28281199 0.8578307  2.53801183]	[0.37008516 0.82262702 0.65749212]
2024-08-06 15:16:36.798723	[0.40500292 0.94993789 5.58512132]	[0.28827039 0.89622789 3.51351254]	[0.36825607 0.83290549 0.65310676]
2024-08-06 15:16:37.001259	[0.39601327 0.96019526 5.67299431]	[0.29310241 0.89470344 3.06439339]	[0.3654065  0.83665078 0.64984916]
2024-08-06 15:16:37.203688	[0.29383933 0.85891057 5.63109172]	[0.23255003 0.82249894 3.36860543]	[0.28467611 0.80368187 0.65823977]
2024-08-06 15:16:37.406412	[0.27995106 0.8390613  5.58189287]	[0.22780121 0.80907371 2.84829206]	[0.27620348 0.80276821 0.65839473]
2024-08-06 15:16:37.659599	[0.17466208 0.7241389  5.67026556]	[0.16145408 0.72470149 3.12868981]	[0.18480267 0.75573829 0.67737384]
2024-08-06 15:16:37.913082	[0.05179966 0.58660102 5.48190044]	[0.08538157 0.62249807 2.22998386]	[0.08391153 0.70517504 0.69799603]
2024-08-06 15:16:38.115221	[-0.08072417  0.44087624  5.3856386 ]	[-0.0016005   0.50719639  1.53518276]	[-0.02798179  0.640925    0.72709766]
2024-08-06 15:16:38.318053	[-0.06610921  0.45925574  5.37809145]	[0.00691765 0.52122254 2.0632245 ]	[-0.01759189  0.63907422  0.73277918]
2024-08-06 15:16:38.571705	[-0.21238372  0.29945151  5.5863482 ]	[-0.08451597  0.39839836  1.51556454]	[-0.14270251  0.57717029  0.75910073]
2024-08-06 15:16:38.825085	[-0.21305838  0.30225467  5.61364641]	[-0.08409174  0.39715595  2.36072925]	[-0.14303407  0.57515228  0.76301537]
2024-08-06 15:16:39.027987	[-0.11458087  0.40821216  5.21388459]	[-0.02451126  0.47436095  2.34213116]	[-0.06097484  0.61370434  0.74766012]
2024-08-06 15:16:39.331854	[-0.00687184  0.51793064  5.09328608]	[0.04322267 0.55329209 2.46286872]	[0.02936782 0.66045473 0.72376993]
2024-08-06 15:16:39.534167	[0.11150474 0.6406923  5.42542113]	[0.12025267 0.64067722 1.82953056]	[0.1305402  0.70696759 0.70648686]
2024-08-06 15:16:39.787376	[0.16681468 0.67089163 5.435208  ]	[0.12366146 0.54854183 1.91941015]	[0.16114398 0.7002862  1.43502302]
2024-08-06 15:16:40.040559	[0.22849204 0.71358643 5.47395985]	[0.12163531 0.42210301 0.70402374]	[0.19080241 0.67871746 2.35385194]
2024-08-06 15:16:40.242866	[0.20870005 0.6901867  6.2347224 ]	[0.09985432 0.37934005 1.57073537]	[0.16913384 0.65821669 2.54580607]
2024-08-06 15:16:40.445452	[0.1824548  0.67543687 6.45734082]	[0.07052166 0.34340907 2.49655663]	[0.14560022 0.63544769 2.75540551]
2024-08-06 15:16:40.647874	[0.12622973 0.62243111 5.09095449]	[-0.03636881  0.0583971   2.78684185]	[0.03568605 0.59155354 2.99859327]
2024-08-06 15:16:40.850219	[0.2069707  0.75670852 4.16614433]	[0.06816494 0.27773644 2.97960428]	[0.13457975 0.66000463 1.98649049]
2024-08-06 15:16:41.052685	[0.29932847 0.90450142 3.89073695]	[0.19695112 0.59011511 3.99328297]	[0.25087262 0.76628707 0.66361815]
2024-08-06 15:16:41.305811	[0.27532496 0.89956058 3.71561095]	[0.19565049 0.53578691 2.89405993]	[0.23489898 0.75759064 0.65448651]
2024-08-06 15:16:41.558997	[0.25490835 0.86582579 2.65109347]	[0.21099581 0.48609928 1.75481464]	[0.21725034 0.74573568 0.65038785]
2024-08-06 15:16:41.761766	[0.27857888 0.88640136 2.86971307]	[0.35423185 0.85866401 2.58057232]	[0.3403894  0.76944582 0.62432226]
2024-08-06 15:16:42.066244	[0.28294927 0.89834554 3.60206843]	[0.3666074  0.89208308 2.80377506]	[0.3381319  0.7762522  0.61496806]
2024-08-06 15:16:42.319496	[0.27411482 0.87366864 2.36307822]	[0.37843679 0.90246906 2.60291644]	[0.33499315 0.77327437 0.6142364 ]
2024-08-06 15:16:42.522104	[0.26737067 0.84779672 1.48958887]	[0.38288171 0.91334817 2.82566945]	[0.32737498 0.7694042  0.61574164]
